-0.8<=w<-0.6 : , 4422, 7187
-0.6<=w<-0.4 : , 12690, 17644
-0.4<=w<-0.2 : , 47491, 58542
-0.2<=w<0 : , 147679, 158282
0<=w<-0.2 : , 179921, 168676
0.2<=w<0.4 : , 52859, 43299
0.4<=w<0.6 : , 7557, 17644
0.6<=w<0.8 : , 2994, 1970
0.8<=w<=1 : , 8298, 3419
epoch, 57
-1<=w<-0.8 : 3741, 8667
-0.8<=w<-0.6 : , 4807, 7636
-0.6<=w<-0.4 : , 13043, 17393
-0.4<=w<-0.2 : , 48551, 59126
-0.2<=w<0 : , 148414, 158684
0<=w<-0.2 : , 186774, 173759
0.2<=w<0.4 : , 54902, 43757
0.4<=w<0.6 : , 10008, 17393
0.6<=w<0.8 : , 2173, 1473
0.8<=w<=1 : , 8543, 3541
epoch, 58
-1<=w<-0.8 : 3336, 8962
-0.8<=w<-0.6 : , 4664, 7803
-0.6<=w<-0.4 : , 10572, 14977
-0.4<=w<-0.2 : , 47631, 59543
-0.2<=w<0 : , 148475, 160641
0<=w<-0.2 : , 180991, 171434
0.2<=w<0.4 : , 53619, 44392
0.4<=w<0.6 : , 8899, 14977
0.6<=w<0.8 : , 1386, 1045
0.8<=w<=1 : , 9138, 4013
epoch, 59
-1<=w<-0.8 : 3422, 8634
-0.8<=w<-0.6 : , 4855, 7797
-0.6<=w<-0.4 : , 13293, 18326
-0.4<=w<-0.2 : , 44501, 55038
-0.2<=w<0 : , 151066, 162618
0<=w<-0.2 : , 178110, 167942
0.2<=w<0.4 : , 50309, 41161
0.4<=w<0.6 : , 7690, 18326
0.6<=w<0.8 : , 2278, 1591
0.8<=w<=1 : , 8682, 3576
epoch, 60
-1<=w<-0.8 : 3586, 8560
-0.8<=w<-0.6 : , 4457, 7086
-0.6<=w<-0.4 : , 12433, 16681
-0.4<=w<-0.2 : , 47307, 57378
-0.2<=w<0 : , 147477, 158263
0<=w<-0.2 : , 178201, 166111
0.2<=w<0.4 : , 51073, 41313
0.4<=w<0.6 : , 9491, 16681
0.6<=w<0.8 : , 1989, 1323
0.8<=w<=1 : , 8822, 3701
epoch, 1
-1<=w<-0.8 : 24160, 39796
-0.8<=w<-0.6 : , 47148, 69136
-0.6<=w<-0.4 : , 78339, 98352
-0.4<=w<-0.2 : , 116457, 140098
-0.2<=w<0 : , 184562, 211051
0<=w<-0.2 : , 149340, 159611
0.2<=w<0.4 : , 123104, 131270
0.4<=w<0.6 : , 83152, 98352
0.6<=w<0.8 : , 43527, 47531
0.8<=w<=1 : , 16875, 18147
epoch, 2
-1<=w<-0.8 : 8228, 14742
-0.8<=w<-0.6 : , 24086, 37389
-0.6<=w<-0.4 : , 55683, 72882
-0.4<=w<-0.2 : , 141693, 165773
-0.2<=w<0 : , 264703, 286860
0<=w<-0.2 : , 232514, 228437
0.2<=w<0.4 : , 152964, 141609
0.4<=w<0.6 : , 61049, 72882
0.6<=w<0.8 : , 26260, 22134
0.8<=w<=1 : , 8086, 6558
epoch, 3
-1<=w<-0.8 : 4059, 7194
-0.8<=w<-0.6 : , 12628, 20001
-0.6<=w<-0.4 : , 34771, 46430
-0.4<=w<-0.2 : , 116259, 136135
-0.2<=w<0 : , 267342, 287111
0<=w<-0.2 : , 255958, 243533
0.2<=w<0.4 : , 116420, 101925
0.4<=w<0.6 : , 38411, 46430
0.6<=w<0.8 : , 19229, 12524
0.8<=w<=1 : , 3392, 2611
epoch, 4
-1<=w<-0.8 : 2812, 6115
-0.8<=w<-0.6 : , 9507, 17224
-0.6<=w<-0.4 : , 26220, 39184
-0.4<=w<-0.2 : , 92311, 112889
-0.2<=w<0 : , 289867, 313437
0<=w<-0.2 : , 288312, 271772
0.2<=w<0.4 : , 98704, 83345
0.4<=w<0.6 : , 25705, 39184
0.6<=w<0.8 : , 15833, 9423
