0.4<=w<0.6 : , 2, 98
0.6<=w<0.8 : , 42, 1812
0.8<=w<=1 : , 2581, 122
epoch, 56
IH, 0.714602, HO, 0.846744
-1<=w<-0.8 : 6983, 346
-0.8<=w<-0.6 : , 71, 2229
-0.6<=w<-0.4 : , 0, 407
-0.4<=w<-0.2 : , 0, 2084
-0.2<=w<0 : , 0, 236
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1769
0.4<=w<0.6 : , 3, 98
0.6<=w<0.8 : , 42, 1811
0.8<=w<=1 : , 2579, 120
epoch, 57
IH, 0.725028, HO, 0.853478
-1<=w<-0.8 : 6986, 354
-0.8<=w<-0.6 : , 70, 2229
-0.6<=w<-0.4 : , 0, 407
-0.4<=w<-0.2 : , 0, 2082
-0.2<=w<0 : , 0, 236
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1769
0.4<=w<0.6 : , 4, 98
0.6<=w<0.8 : , 42, 1809
0.8<=w<=1 : , 2578, 122
epoch, 58
IH, 0.717295, HO, 0.845062
-1<=w<-0.8 : 7018, 338
-0.8<=w<-0.6 : , 69, 2227
-0.6<=w<-0.4 : , 0, 407
-0.4<=w<-0.2 : , 0, 2082
-0.2<=w<0 : , 0, 236
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1768
0.4<=w<0.6 : , 3, 98
0.6<=w<0.8 : , 43, 1806
0.8<=w<=1 : , 2583, 124
epoch, 59
IH, 0.726457, HO, 0.854048
-1<=w<-0.8 : 7031, 341
-0.8<=w<-0.6 : , 69, 2224
-0.6<=w<-0.4 : , 0, 407
-0.4<=w<-0.2 : , 0, 2081
-0.2<=w<0 : , 0, 235
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1765
0.4<=w<0.6 : , 5, 98
0.6<=w<0.8 : , 43, 1805
0.8<=w<=1 : , 2583, 122
epoch, 60
IH, 0.733788, HO, 0.856897
-1<=w<-0.8 : 7068, 323
-0.8<=w<-0.6 : , 69, 2221
-0.6<=w<-0.4 : , 0, 406
-0.4<=w<-0.2 : , 0, 2081
-0.2<=w<0 : , 0, 236
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1765
0.4<=w<0.6 : , 4, 98
0.6<=w<0.8 : , 44, 1805
0.8<=w<=1 : , 2582, 122
epoch, 61
IH, 0.734926, HO, 0.864436
-1<=w<-0.8 : 7060, 349
-0.8<=w<-0.6 : , 70, 2217
-0.6<=w<-0.4 : , 0, 405
-0.4<=w<-0.2 : , 0, 2079
-0.2<=w<0 : , 0, 236
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 2, 1765
0.4<=w<0.6 : , 4, 98
0.6<=w<0.8 : , 43, 1804
0.8<=w<=1 : , 2585, 122
epoch, 62
IH, 0.749129, HO, 0.866246
-1<=w<-0.8 : 7072, 350
-0.8<=w<-0.6 : , 70, 2218
-0.6<=w<-0.4 : , 0, 405
-0.4<=w<-0.2 : , 0, 2078
-0.2<=w<0 : , 0, 236
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 1, 1764
0.4<=w<0.6 : , 3, 98
0.6<=w<0.8 : , 45, 1804
0.8<=w<=1 : , 2585, 118
epoch, 63
IH, 0.753792, HO, 0.86584
-1<=w<-0.8 : 7101, 336
-0.8<=w<-0.6 : , 69, 2217
-0.6<=w<-0.4 : , 0, 404
-0.4<=w<-0.2 : , 0, 2079
